caseid_new,w1_weight_combo,w2_attrition_adj_weights,w3_attrition_adj_weight,w2_surveyed,w3_surveyed,w1_ppage,w1_ppeduc,w1_ppincimp,w1_ppgender,w1_ppethm,w1_ppreg9,w1_ppwork,w1_partnership_status,w1_q19,w1_married,w1_same_sex_couple,w1_relate_duration_in2017_years,w1_q34,w1_q24_met_online,w1_q24_met_through_friend,w1_q24_met_through_family,w1_q24_met_as_through_cowork,w1_q24_school,w1_q24_college,w1_q24_church,w1_q24_bar_restaurant,w1_q24_party,w1_q32,w3_partner_type,w3_live_w_partner,w3_relationship_end_combo,w3_partner_source,w3_breakup_source,w3_relationship_duration_yrs
53001.0,0.4268607795238495,0.380351185798645,0.40018463134765625,yes,yes,48.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999",Female,"2+ Races, Non-Hispanic",East-North Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,3.5833332538604736,Excellent,no,no,no,no,no,no,no,yes,no,"No, I did NOT meet [Partner Name] through the Internet",in unmarried partnership,yes,no report of breakup or partner death,2020 wave,,1.5
71609.0,1.2955082654953003,0.9539480209350586,0.8792577981948853,yes,yes,68.0,"Some college, no degree","$50,000 to $59,999",Female,"White, Non-Hispanic",Pacific,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,52.75,Excellent,no,yes,yes,no,no,no,no,no,yes,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,57.41666793823242
106983.0,1.1265732049942017,0.7246816754341125,0.7064666152000427,yes,yes,39.0,Associate degree,"$85,000 to $99,999",Male,"White, Non-Hispanic",Pacific,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,17.58333396911621,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,22.33333396911621
121759.0,0.9334399104118347,0.7930925488471985,,yes,no,54.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$100,000 to $124,999",Male,"White, Non-Hispanic",Mid-Atlantic,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,27.41666603088379,Excellent,no,no,no,yes,no,no,yes,no,no,"No, I did NOT meet [Partner Name] through the Internet",not in wave 3,,,,,
158083.0,0.9312914609909058,0.7354734539985657,0.6554670929908752,yes,yes,48.0,"Some college, no degree","$75,000 to $84,999",Male,"White, Non-Hispanic",Mountain,Working - as a paid employee,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,yes,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
164061.0,0.9312914609909058,0.6054039597511292,0.34262633323669434,yes,yes,59.0,"Some college, no degree","$85,000 to $99,999",Male,"White, Non-Hispanic",Pacific,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,23.58333396911621,Excellent,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,28.25
185779.0,0.8675167560577393,0.6042787432670593,0.5644224882125854,yes,yes,72.0,"Some college, no degree","$10,000 to $12,499",Female,"White, Non-Hispanic",Mountain,Not working - disabled,"unpartnered, has had past partner",,no,NOT same-sex souple,,,no,no,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",unpartnered,,no report of breakup or partner death,,,
212249.0,1.3470708131790161,1.6955828666687012,1.1420179605484009,yes,yes,55.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999",Female,"Black, Non-Hispanic",East-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,34.25,Good,no,yes,no,no,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,38.91666793823242
214227.0,0.975956380367279,0.7300180792808533,0.886445164680481,yes,yes,73.0,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$40,000 to $49,999",Female,"White, Non-Hispanic",South Atlantic,Not working - retired,married,Yes,yes,NOT same-sex souple,23.66666603088379,Excellent,no,no,no,yes,no,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,28.41666603088379
218351.0,0.9664580225944519,0.5603209137916565,0.5489994883537292,yes,yes,46.0,Associate degree,"$75,000 to $84,999",Male,"White, Non-Hispanic",West-South Central,Working - as a paid employee,married,Yes,yes,NOT same-sex souple,21.0,Good,no,no,no,no,yes,no,no,no,no,"No, I did NOT meet [Partner Name] through the Internet",married,yes,no report of breakup or partner death,2017 wave,,25.75
