w1_q24_met_online,w1_ppage,w1_ppgender,w1_ppeduc,w1_ppincimp,w1_ppethm,w1_ppwork,w1_married,w1_same_sex_couple_raw,w1_relate_duration_in2017_years,w1_q34,still_together_w3,w1_weight_combo
0.0,48.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$60,000 to $74,999","2+ Races, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,3.5833332538604736,Excellent,1.0,0.4268607795238495
0.0,68.0,Female,"Some college, no degree","$50,000 to $59,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,52.75,Excellent,1.0,1.2955082654953003
0.0,39.0,Male,Associate degree,"$85,000 to $99,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,17.58333396911621,Excellent,1.0,1.1265732049942017
0.0,59.0,Male,"Some college, no degree","$85,000 to $99,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,23.58333396911621,Excellent,1.0,0.9312914609909058
0.0,55.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999","Black, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,34.25,Good,1.0,1.347070813179016
0.0,73.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$40,000 to $49,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,23.66666603088379,Excellent,1.0,0.975956380367279
0.0,46.0,Male,Associate degree,"$75,000 to $84,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,21.0,Good,1.0,0.966458022594452
0.0,43.0,Male,Associate degree,"$25,000 to $29,999","2+ Races, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,16.41666603088379,Fair,1.0,0.4561473727226257
0.0,57.0,Female,"Some college, no degree","$30,000 to $34,999","White, Non-Hispanic",Working - as a paid employee,0.0,NOT same-sex souple,3.4166667461395264,Good,1.0,1.1310962438583374
0.0,54.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$40,000 to $49,999","Black, Non-Hispanic",Not working - looking for work,1.0,NOT same-sex souple,29.83333396911621,Good,1.0,1.4581111669540403
0.0,61.0,Female,"Some college, no degree","$85,000 to $99,999","Other, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,28.91666603088379,Good,1.0,1.71388840675354
0.0,59.0,Male,Associate degree,"$85,000 to $99,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,26.75,Good,1.0,1.0101052522659302
0.0,81.0,Female,"Some college, no degree","$50,000 to $59,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,62.91666793823242,Excellent,1.0,0.8472762107849121
0.0,43.0,Female,Bachelors degree,"$125,000 to $149,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,24.41666603088379,Good,1.0,1.0729752779006958
0.0,70.0,Female,"Some college, no degree","$35,000 to $39,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,47.08333206176758,Excellent,1.0,1.01881206035614
0.0,80.0,Male,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$100,000 to $124,999","White, Non-Hispanic",Not working - retired,1.0,NOT same-sex souple,10.333333015441896,Excellent,0.0,0.8666121363639832
0.0,53.0,Female,Masters degree,"$60,000 to $74,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,17.75,Good,1.0,0.8866265416145325
0.0,51.0,Male,Bachelors degree,"$100,000 to $124,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,18.08333396911621,Excellent,1.0,0.8071343898773193
1.0,46.0,Female,Professional or Doctorate degree,"$85,000 to $99,999","White, Non-Hispanic",Working - self-employed,0.0,NOT same-sex souple,1.6666666269302368,Good,0.0,1.033172607421875
0.0,40.0,Male,Masters degree,"$125,000 to $149,999","White, Non-Hispanic",Working - as a paid employee,1.0,NOT same-sex souple,18.08333396911621,Fair,1.0,0.8789374232292175
0.0,36.0,Female,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),"$50,000 to $59,999","White, Non-Hispanic",Not working - other,1.0,NOT same-sex souple,10.916666984558104,Good,1.0,1.2102491855621338
